Sample	Research_group	Research_group_ID	Stem_cell_name	Stem_cell_type	Tissue_origin	Passage_term	Culture_medium_composition
ESC_rep1	GSE148158	1	ESC	ESC	Inner_cell_mass	Long	Xeno_free
ESC_rep2	GSE148158	1	ESC	ESC	Inner_cell_mass	Long	Xeno_free
ESC_rep3	GSE138170	2	ESC	ESC	Inner_cell_mass	Long	Xeno_free
ESC_rep4	GSE138170	2	ESC	ESC	Inner_cell_mass	Long	Xeno_free
ESC_rep5	GSE154481	3	ESC	ESC	Inner_cell_mass	Unknown	Xeno_free
ESC_rep5	GSE154481	3	ESC	ESC	Inner_cell_mass	Unknown	Xeno_free
ESC_rep7	GSE154481	3	ESC	ESC	Inner_cell_mass	Unknown	Xeno_free
ESC_rep8	GSE127201	4	ESC	ESC	Inner_cell_mass	Unknown	Xenogenic_component
ESC_rep9	GSE127201	4	ESC	ESC	Inner_cell_mass	Unknown	Xenogenic_component
AMiPSC_rep1	GSE159926	5	AMiPSC	iPSC	Amniotic_membrane	Long	Xenogenic_component
AMiPSC_rep2	GSE159926	5	AMiPSC	iPSC	Amniotic_membrane	Long	Xenogenic_component
AMiPSC_rep3	GSE159926	5	AMiPSC	iPSC	Amniotic_membrane	Long	Xenogenic_component
PBiPSC_rep1	GSE147498	6	PBiPSC	iPSC	Peripheral_blood	Unknown	Xeno_free
PBiPSC_rep2	GSE147498	6	PBiPSC	iPSC	Peripheral_blood	Unknown	Xeno_free
SFiPSC_rep1	GSE116471	7	SFiPSC	iPSC	Skin_fibroblast	Long	Unknown
SFiPSC_rep2	GSE116471	7	SFiPSC	iPSC	Skin_fibroblast	Long	Unknown
SFiPSC_rep3	GSE65423	8	SFiPSC	iPSC	Skin_fibroblast	Unknown	Xeno_free
SFiPSC_rep4	GSE65423	8	SFiPSC	iPSC	Skin_fibroblast	Unknown	Xeno_free
SFiPSC_rep5	GSE65423	8	SFiPSC	iPSC	Skin_fibroblast	Unknown	Xeno_free
ADMSC_rep1	GSE113253	9	ADMSC	MSC	Adipose	Unknown	Xenogenic_component
ADMSC_rep2	GSE113253	9	ADMSC	MSC	Adipose	Unknown	Xenogenic_component
ADMSC_rep3	GSE113253	9	ADMSC	MSC	Adipose	Unknown	Xenogenic_component
ADMSC_rep4	GSE125331	10	ADMSC	MSC	Adipose	Short	Xeno_free
ADMSC_rep5	GSE125331	10	ADMSC	MSC	Adipose	Short	Xeno_free
ADMSC_rep6	GSE30567	11	ADMSC	MSC	Adipose	Short	Xeno_free
ADMSC_rep7	GSE30567	11	ADMSC	MSC	Adipose	Short	Xeno_free
ADMSC_rep8	GSE60237	12	ADMSC	MSC	Adipose	Middle	Xenogenic_component
ADMSC_rep9	GSE60237	12	ADMSC	MSC	Adipose	Middle	Xenogenic_component
ADMSC_rep10	GSE96788	13	ADMSC	MSC	Adipose	Middle	Xenogenic_component
ADMSC_rep11	GSE96788	13	ADMSC	MSC	Adipose	Middle	Xenogenic_component
ADMSC_rep12	GSE96788	13	ADMSC	MSC	Adipose	Middle	Xenogenic_component
BMMSC_rep1	GSE113253	9	BMMSC	MSC	Bone_marrow	Unknown	Xenogenic_component
BMMSC_rep2	GSE113253	9	BMMSC	MSC	Bone_marrow	Unknown	Xenogenic_component
BMMSC_rep3	GSE113253	9	BMMSC	MSC	Bone_marrow	Unknown	Xenogenic_component
BMMSC_rep4	GSE113253	9	BMMSC	MSC	Bone_marrow	Unknown	Xenogenic_component
BMMSC_rep5	GSE85223	14	BMMSC	MSC	Bone_marrow	Unknown	Xeno_free
BMMSC_rep6	GSE85223	14	BMMSC	MSC	Bone_marrow	Unknown	Xeno_free
BMMSC_rep7	GSE85223	14	BMMSC	MSC	Bone_marrow	Unknown	Xeno_free
BMMSC_rep8	GSE137186	15	BMMSC	MSC	Bone_marrow	Short	Xeno_free
BMMSC_rep9	GSE137186	15	BMMSC	MSC	Bone_marrow	Short	Xeno_free
BMMSC_rep10	GSE137186	15	BMMSC	MSC	Bone_marrow	Short	Xeno_free
BMMSC_rep11	GSE137186	15	BMMSC	MSC	Bone_marrow	Short	Xeno_free
BMMSC_rep12	GSE30567	11	BMMSC	MSC	Bone_marrow	Short	Xeno_free
BMMSC_rep13	GSE115240	16	BMMSC	MSC	Bone_marrow	Middle	Xenogenic_component
BMMSC_rep14	GSE115240	16	BMMSC	MSC	Bone_marrow	Middle	Xenogenic_component
BMMSC_rep15	GSE115240	16	BMMSC	MSC	Bone_marrow	Middle	Xenogenic_component
BMMSC_rep16	GSE115240	16	BMMSC	MSC	Bone_marrow	Middle	Xenogenic_component
